Sample	serotype	st	source
GCA_012873535.1	O25	131	others
GCA_012873555.1	O25	131	others
GCA_012876895.1	O25	131	others
GCA_032195205.2	O25	others	urine
GCA_012891035.1	O25	131	others
GCA_012788815.1	O25	131	others
GCA_012891095.1	O25	131	others
GCA_012873655.1	O25	131	others
GCA_012874015.1	O25	131	others
GCA_012874375.1	O25	73	others
GCA_012775725.1	O25	131	others
GCA_001561375.1	O25	131	blood
GCA_001561175.1	O25	131	urine
GCA_001561135.1	O25	131	blood
GCA_001561045.1	O25	131	urine
GCA_001555495.1	O25	131	urine
GCA_001521055.2	O25	131	others
GCA_001520695.2	O25	131	others
GCA_012677565.1	O25	131	blood
GCA_012677605.1	O25	131	blood
GCA_012677675.1	O25	131	blood
GCA_012677705.1	O25	131	blood
GCA_042836635.1	O25	others	urine
GCA_042702185.1	O25	1193	urine
GCA_042713465.1	O25	others	urine
GCA_036905755.1	O25	361	respiratory
GCA_012677405.1	O25	131	blood
GCA_001647405.1	O25	131	urine
GCA_001647335.1	O25	131	urine
GCA_001637965.1	O25	131	urine
GCA_012707225.1	O25	131	blood
GCA_012707205.1	O25	131	blood
GCA_012707745.1	O25	131	blood
GCA_012675545.1	O25	131	blood
GCA_036882365.1	O25	131	others
GCA_042709775.1	O25	131	urine
GCA_001561445.1	O25	131	blood
GCA_012675705.1	O25	131	blood
GCA_012675945.1	O25	131	blood
GCA_012675205.1	O25	131	blood
GCA_012675265.1	O25	131	blood
GCA_012675405.1	O25	131	blood
GCA_012675355.1	O25	95	blood
GCA_037030025.1	O25	others	urine
GCA_012775755.1	O25	131	others
GCA_012788895.1	O25	131	others
GCA_012891395.1	O25	131	others
GCA_012891455.1	O25	131	others
GCA_012891415.1	O25	131	others
GCA_012788955.1	O25	131	others
GCA_012788925.1	O25	131	others
GCA_012891475.1	O25	131	others
GCA_012822035.1	O25	unknown	others
GCA_012891535.1	O25	131	others
GCA_012891595.1	O25	131	others
GCA_012789055.1	O25	131	others
GCA_012891635.1	O25	131	others
GCA_012789035.1	O25	131	others
GCA_012789115.1	O25	131	others
GCA_037049145.1	O25	131	wound
GCA_012675335.1	O25	131	blood
GCA_012675425.1	O25	131	blood
GCA_012674365.1	O25	131	blood
GCA_012674765.1	O25	131	blood
GCA_012674965.1	O25	131	blood
GCA_037048265.1	O25	131	blood
GCA_012675085.1	O25	131	blood
GCA_012675045.1	O25	131	blood
E44	O25	131	respiratory
E41	O25	others	urine
E29	O25	131	others
E25	O25	131	urine
E17	O25	131	others
GCA_037049845.1	O25	others	blood
GCA_037049395.1	O25	73	urine
GCA_012789135.1	O25	131	others
GCA_012761515.1	O25	131	others
GCA_012776155.1	O25	131	others
GCA_012891105.1	O25	131	others
GCA_012775795.1	O25	131	others
GCA_012890855.1	O25	131	others
GCA_012779255.1	O25	131	others
GCA_012890995.1	O25	131	others
GCA_012788845.1	O25	131	others
GCA_012871965.1	O25	131	others
GCA_012870375.1	O25	69	others
GCA_012870555.1	O25	131	others
GCA_012674445.1	O25	131	blood
GCA_012674625.1	O25	131	blood
GCA_012674785.1	O25	131	blood
GCA_012673935.1	O25	131	blood
GCA_045001265.1	O25	38	others
GCA_042851035.1	O25	131	urine
GCA_036529815.1	O25	others	others
GCA_012789195.1	O25	131	others
GCA_012761315.1	O25	131	others
GCA_012762995.1	O25	131	others
GCA_012789275.1	O25	131	others
GCA_012789015.1	O25	131	others
GCA_012761115.1	O25	131	others
GCA_012788615.1	O25	131	others
GCA_012788835.1	O25	131	others
GCA_012902955.1	O25	131	others
GCA_012779475.1	O25	131	others
GCA_012903125.1	O25	131	others
GCA_012788995.1	O25	131	others
GCA_012903135.1	O25	131	others
GCA_016189685.1	O25	131	others
GCA_012788915.1	O25	131	others
GCA_012673705.1	O25	131	blood
GCA_012673765.1	O25	131	blood
GCA_012674145.1	O25	131	blood
GCA_012674025.1	O25	131	blood
GCA_020377225.1	O25	131	blood
GCA_012673465.1	O25	131	blood
GCA_963679725.1	O25	131	others
GCA_963679705.1	O25	131	others
GCA_963679635.1	O25	131	others
GCA_963679645.1	O25	131	others
GCA_963679565.1	O25	131	others
GCA_963679585.1	O25	131	others
GCA_963679575.1	O25	131	others
GCA_963679545.1	O25	131	others
GCA_012672065.1	O25	95	blood
GCA_012672205.1	O25	131	blood
GCA_012672825.1	O25	131	blood
GCA_963679415.1	O25	131	others
GCA_963679425.1	O25	131	others
GCA_963679455.1	O25	131	others
GCA_042848065.1	O25	131	urine
